name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,sca,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,bench_explain
Saïd Benrahma,2021-11-20,Sat,12,Away,L 0–1,West Ham,Wolves,Y,AM,70.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Saïd Benrahma,2021-11-28,Sun,13,Away,L 1–2,West Ham,Manchester City,Y,AM,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Saïd Benrahma,2021-12-01,Wed,14,Home,D 1–1,West Ham,Brighton,Y,"LW,AM",75.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Michail Antonio,2021-08-15,Sun,1,Away,W 4–2,West Ham,Newcastle Utd,Y,FW,89.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,
Michail Antonio,2021-08-23,Mon,2,Home,W 4–1,West Ham,Leicester City,Y,FW,88.0,5.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,
Michail Antonio,2021-08-28,Sat,3,Home,D 2–2,West Ham,Crystal Palace,Y,FW,90.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Michail Antonio,2021-09-11,Sat,4,Away,D 0–0,West Ham,Southampton,Y,FW,89.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Michail Antonio,,,,,,,,,,,,,,,,,,,,,,,,,
Michail Antonio,2021-09-25,Sat,6,Away,W 2–1,West Ham,Leeds United,Y,FW,89.0,7.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,
Michail Antonio,2021-10-03,Sun,7,Home,L 1–2,West Ham,Brentford,Y,FW,90.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Michail Antonio,2021-10-17,Sun,8,Away,W 1–0,West Ham,Everton,Y,FW,90.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
Michail Antonio,2021-10-24,Sun,9,Home,W 1–0,West Ham,Tottenham,Y,FW,90.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Michail Antonio,2021-10-31,Sun,10,Away,W 4–1,West Ham,Aston Villa,Y,FW,90.0,7.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Michail Antonio,2021-11-07,Sun,11,Home,W 3–2,West Ham,Liverpool,Y,FW,90.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
Michail Antonio,2021-11-20,Sat,12,Away,L 0–1,West Ham,Wolves,Y,FW,90.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Michail Antonio,2021-11-28,Sun,13,Away,L 1–2,West Ham,Manchester City,Y,FW,90.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Michail Antonio,2021-12-01,Wed,14,Home,D 1–1,West Ham,Brighton,Y,FW,90.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Cresswell,2021-08-15,Sun,1,Away,W 4–2,West Ham,Newcastle Utd,Y,"LB,CB",90.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Cresswell,2021-08-23,Mon,2,Home,W 4–1,West Ham,Leicester City,Y,LB,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Aaron Cresswell,2021-08-28,Sat,3,Home,D 2–2,West Ham,Crystal Palace,Y,LB,90.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Cresswell,2021-09-11,Sat,4,Away,D 0–0,West Ham,Southampton,Y,LB,90.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Cresswell,2021-09-19,Sun,5,Home,L 1–2,West Ham,Manchester Utd,Y,LB,90.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Cresswell,2021-09-25,Sat,6,Away,W 2–1,West Ham,Leeds United,Y,"LB,WB",90.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Cresswell,2021-10-03,Sun,7,Home,L 1–2,West Ham,Brentford,Y,LB,90.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Cresswell,2021-10-17,Sun,8,Away,W 1–0,West Ham,Everton,Y,"LB,WB",90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Cresswell,2021-10-24,Sun,9,Home,W 1–0,West Ham,Tottenham,Y,LB,90.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
Aaron Cresswell,2021-10-31,Sun,10,Away,W 4–1,West Ham,Aston Villa,Y,LB,90.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Cresswell,2021-11-07,Sun,11,Home,W 3–2,West Ham,Liverpool,Y,LB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Cresswell,2021-11-20,Sat,12,Away,L 0–1,West Ham,Wolves,Y,LB,90.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Aaron Cresswell,2021-11-28,Sun,13,Away,L 1–2,West Ham,Manchester City,Y,LB,60.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jarrod Bowen,2021-08-15,Sun,1,Away,W 4–2,West Ham,Newcastle Utd,Y,RW,89.0,7.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
Jarrod Bowen,2021-08-23,Mon,2,Home,W 4–1,West Ham,Leicester City,Y,RW,90.0,8.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Jarrod Bowen,2021-08-28,Sat,3,Home,D 2–2,West Ham,Crystal Palace,Y,RW,78.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jarrod Bowen,2021-09-11,Sat,4,Away,D 0–0,West Ham,Southampton,Y,RW,82.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jarrod Bowen,2021-09-19,Sun,5,Home,L 1–2,West Ham,Manchester Utd,Y,FW,89.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Jarrod Bowen,2021-09-25,Sat,6,Away,W 2–1,West Ham,Leeds United,Y,RW,89.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jarrod Bowen,2021-10-03,Sun,7,Home,L 1–2,West Ham,Brentford,Y,RW,90.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jarrod Bowen,2021-10-17,Sun,8,Away,W 1–0,West Ham,Everton,Y,"RW,AM",89.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,
Jarrod Bowen,2021-10-24,Sun,9,Home,W 1–0,West Ham,Tottenham,Y,RW,89.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jarrod Bowen,2021-10-31,Sun,10,Away,W 4–1,West Ham,Aston Villa,Y,RW,89.0,5.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
Jarrod Bowen,2021-11-07,Sun,11,Home,W 3–2,West Ham,Liverpool,Y,RW,83.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,
Jarrod Bowen,2021-11-20,Sat,12,Away,L 0–1,West Ham,Wolves,Y,RW,70.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jarrod Bowen,2021-11-28,Sun,13,Away,L 1–2,West Ham,Manchester City,N,RW,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jarrod Bowen,2021-12-01,Wed,14,Home,D 1–1,West Ham,Brighton,Y,RW,90.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Angelo Ogbonna,2021-08-15,Sun,1,Away,W 4–2,West Ham,Newcastle Utd,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Angelo Ogbonna,2021-08-23,Mon,2,Home,W 4–1,West Ham,Leicester City,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Angelo Ogbonna,2021-08-28,Sat,3,Home,D 2–2,West Ham,Crystal Palace,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Angelo Ogbonna,2021-09-11,Sat,4,Away,D 0–0,West Ham,Southampton,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Angelo Ogbonna,2021-09-19,Sun,5,Home,L 1–2,West Ham,Manchester Utd,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Angelo Ogbonna,2021-09-25,Sat,6,Away,W 2–1,West Ham,Leeds United,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Angelo Ogbonna,2021-10-03,Sun,7,Home,L 1–2,West Ham,Brentford,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Angelo Ogbonna,2021-10-17,Sun,8,Away,W 1–0,West Ham,Everton,Y,CB,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Angelo Ogbonna,2021-10-24,Sun,9,Home,W 1–0,West Ham,Tottenham,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Angelo Ogbonna,2021-10-31,Sun,10,Away,W 4–1,West Ham,Aston Villa,Y,CB,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Angelo Ogbonna,2021-11-07,Sun,11,Home,W 3–2,West Ham,Liverpool,Y,CB,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kurt Zouma,2021-08-14,Sat,1,Home,W 3–0,Chelsea,Crystal Palace,N,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Kurt Zouma,2021-08-22,Sun,2,Away,W 2–0,Chelsea,Arsenal,N,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Kurt Zouma,,,,,,,,,,,,,,,,,,,,,,,,,
