name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,bench_explain
Declan Rice,2021-10-03,Sun,7,Home,L 1–2,West Ham,Brentford,Y*,DM,90.0,67.0,7.0,18.0,42.0,11.0,2.0,67.0,0.0,0.0,,0.0,0.0,38.0,180.0,47.0,2.0,2.0,0.0,1.0,1.0,39.0,38.0,97.4,1.0,
Declan Rice,2021-10-17,Sun,8,Away,W 1–0,West Ham,Everton,Y*,DM,90.0,87.0,5.0,24.0,65.0,14.0,1.0,87.0,2.0,5.0,40.0,3.0,0.0,66.0,561.0,338.0,9.0,5.0,0.0,0.0,0.0,61.0,60.0,98.4,3.0,
Declan Rice,2021-10-24,Sun,9,Home,W 1–0,West Ham,Tottenham,Y*,DM,90.0,57.0,2.0,24.0,34.0,4.0,0.0,57.0,2.0,3.0,66.7,3.0,1.0,32.0,244.0,113.0,6.0,2.0,0.0,2.0,0.0,31.0,31.0,100.0,1.0,
Declan Rice,2021-10-31,Sun,10,Away,W 4–1,West Ham,Aston Villa,Y*,DM,90.0,91.0,2.0,21.0,61.0,16.0,1.0,90.0,0.0,1.0,0.0,0.0,0.0,70.0,370.0,212.0,7.0,3.0,0.0,1.0,0.0,67.0,65.0,97.0,0.0,
Declan Rice,2021-11-07,Sun,11,Home,W 3–2,West Ham,Liverpool,Y*,DM,90.0,48.0,5.0,17.0,30.0,7.0,0.0,46.0,0.0,0.0,,0.0,0.0,27.0,205.0,97.0,2.0,1.0,0.0,0.0,1.0,28.0,26.0,92.9,0.0,
Declan Rice,2021-11-20,Sat,12,Away,L 0–1,West Ham,Wolves,Y*,DM,90.0,69.0,2.0,16.0,48.0,12.0,0.0,66.0,2.0,2.0,100.0,2.0,0.0,49.0,349.0,161.0,6.0,2.0,0.0,0.0,1.0,56.0,53.0,94.6,0.0,
Declan Rice,2021-11-28,Sun,13,Away,L 1–2,West Ham,Manchester City,Y*,DM,90.0,53.0,5.0,19.0,27.0,12.0,5.0,52.0,2.0,2.0,100.0,2.0,0.0,38.0,249.0,110.0,6.0,0.0,0.0,4.0,0.0,33.0,33.0,100.0,1.0,
Declan Rice,2021-12-01,Wed,14,Home,D 1–1,West Ham,Brighton,Y*,DM,90.0,51.0,5.0,16.0,25.0,16.0,2.0,51.0,2.0,2.0,100.0,2.0,0.0,31.0,208.0,134.0,6.0,4.0,1.0,0.0,1.0,27.0,26.0,96.3,1.0,
Tomáš Souček,2021-08-15,Sun,1,Away,W 4–2,West Ham,Newcastle Utd,Y,"DM,CM",90.0,52.0,6.0,11.0,27.0,19.0,4.0,52.0,1.0,1.0,100.0,1.0,0.0,29.0,170.0,125.0,5.0,2.0,0.0,1.0,1.0,38.0,31.0,81.6,3.0,
Tomáš Souček,2021-08-23,Mon,2,Home,W 4–1,West Ham,Leicester City,Y,DM,90.0,70.0,1.0,11.0,47.0,19.0,3.0,70.0,0.0,1.0,0.0,0.0,0.0,49.0,159.0,78.0,5.0,5.0,1.0,0.0,1.0,57.0,53.0,93.0,2.0,
Tomáš Souček,2021-08-28,Sat,3,Home,D 2–2,West Ham,Crystal Palace,Y,DM,90.0,43.0,4.0,12.0,23.0,11.0,2.0,42.0,0.0,0.0,,0.0,0.0,18.0,117.0,30.0,1.0,0.0,0.0,1.0,0.0,27.0,21.0,77.8,1.0,
Tomáš Souček,2021-09-11,Sat,4,Away,D 0–0,West Ham,Southampton,Y,DM,90.0,77.0,3.0,11.0,45.0,25.0,2.0,77.0,0.0,0.0,,0.0,0.0,48.0,218.0,97.0,6.0,2.0,0.0,2.0,0.0,67.0,61.0,91.0,1.0,
Tomáš Souček,2021-09-19,Sun,5,Home,L 1–2,West Ham,Manchester Utd,Y,DM,90.0,63.0,8.0,24.0,29.0,11.0,3.0,62.0,0.0,0.0,,0.0,0.0,31.0,103.0,32.0,1.0,1.0,0.0,0.0,0.0,36.0,34.0,94.4,1.0,
Tomáš Souček,2021-09-25,Sat,6,Away,W 2–1,West Ham,Leeds United,Y,DM,90.0,40.0,3.0,16.0,18.0,9.0,1.0,40.0,0.0,0.0,,0.0,0.0,21.0,83.0,51.0,2.0,2.0,0.0,0.0,0.0,34.0,25.0,73.5,1.0,
Tomáš Souček,2021-10-03,Sun,7,Home,L 1–2,West Ham,Brentford,Y,DM,90.0,48.0,2.0,11.0,30.0,9.0,4.0,48.0,0.0,1.0,0.0,0.0,0.0,26.0,122.0,66.0,2.0,1.0,0.0,1.0,1.0,34.0,25.0,73.5,3.0,
Tomáš Souček,2021-10-17,Sun,8,Away,W 1–0,West Ham,Everton,Y,DM,78.0,60.0,2.0,11.0,38.0,12.0,3.0,60.0,1.0,2.0,50.0,1.0,0.0,44.0,178.0,75.0,2.0,1.0,0.0,2.0,0.0,50.0,42.0,84.0,4.0,
Tomáš Souček,2021-10-24,Sun,9,Home,W 1–0,West Ham,Tottenham,Y,DM,90.0,54.0,5.0,21.0,22.0,14.0,5.0,53.0,0.0,0.0,,0.0,0.0,25.0,77.0,40.0,1.0,0.0,0.0,1.0,0.0,39.0,33.0,84.6,1.0,
Tomáš Souček,2021-10-31,Sun,10,Away,W 4–1,West Ham,Aston Villa,Y,DM,90.0,61.0,6.0,18.0,33.0,15.0,2.0,61.0,0.0,0.0,,0.0,0.0,32.0,187.0,136.0,5.0,2.0,1.0,2.0,0.0,42.0,35.0,83.3,0.0,
Tomáš Souček,2021-11-07,Sun,11,Home,W 3–2,West Ham,Liverpool,Y,DM,90.0,47.0,7.0,23.0,22.0,4.0,2.0,46.0,0.0,0.0,,0.0,0.0,15.0,61.0,18.0,0.0,0.0,0.0,0.0,0.0,22.0,18.0,81.8,2.0,
Tomáš Souček,2021-11-20,Sat,12,Away,L 0–1,West Ham,Wolves,Y,DM,90.0,56.0,3.0,15.0,34.0,10.0,3.0,56.0,0.0,1.0,0.0,1.0,1.0,32.0,127.0,68.0,3.0,1.0,0.0,0.0,0.0,47.0,36.0,76.6,2.0,
Tomáš Souček,2021-11-28,Sun,13,Away,L 1–2,West Ham,Manchester City,Y,DM,90.0,43.0,8.0,13.0,22.0,9.0,1.0,43.0,1.0,1.0,100.0,1.0,0.0,16.0,85.0,29.0,2.0,0.0,0.0,0.0,1.0,30.0,21.0,70.0,2.0,
Tomáš Souček,2021-12-01,Wed,14,Home,D 1–1,West Ham,Brighton,Y,DM,90.0,28.0,5.0,9.0,14.0,7.0,2.0,28.0,0.0,0.0,,0.0,0.0,10.0,74.0,51.0,0.0,0.0,0.0,0.0,1.0,22.0,16.0,72.7,0.0,
Pablo Fornals,2021-08-15,Sun,1,Away,W 4–2,West Ham,Newcastle Utd,Y,LW,90.0,74.0,2.0,10.0,30.0,40.0,5.0,73.0,0.0,1.0,0.0,0.0,0.0,55.0,333.0,193.0,12.0,3.0,2.0,1.0,1.0,61.0,54.0,88.5,4.0,
Pablo Fornals,2021-08-23,Mon,2,Home,W 4–1,West Ham,Leicester City,Y,AM,90.0,54.0,0.0,7.0,28.0,22.0,2.0,53.0,2.0,2.0,100.0,2.0,1.0,41.0,171.0,85.0,5.0,3.0,0.0,0.0,1.0,55.0,43.0,78.2,4.0,
Pablo Fornals,2021-08-28,Sat,3,Home,D 2–2,West Ham,Crystal Palace,Y,"AM,RW",86.0,51.0,0.0,5.0,27.0,23.0,8.0,48.0,0.0,1.0,0.0,0.0,0.0,38.0,175.0,130.0,5.0,1.0,1.0,2.0,3.0,42.0,40.0,95.2,8.0,
Pablo Fornals,2021-09-11,Sat,4,Away,D 0–0,West Ham,Southampton,Y,LW,90.0,62.0,2.0,8.0,33.0,27.0,0.0,62.0,0.0,1.0,0.0,0.0,0.0,39.0,307.0,176.0,8.0,3.0,0.0,1.0,0.0,63.0,47.0,74.6,10.0,
Pablo Fornals,2021-09-19,Sun,5,Home,L 1–2,West Ham,Manchester Utd,Y,RM,90.0,52.0,2.0,15.0,20.0,19.0,4.0,52.0,0.0,1.0,0.0,0.0,0.0,29.0,126.0,38.0,3.0,1.0,0.0,0.0,4.0,40.0,35.0,87.5,8.0,
Pablo Fornals,2021-09-25,Sat,6,Away,W 2–1,West Ham,Leeds United,Y,AM,77.0,33.0,2.0,3.0,13.0,18.0,3.0,31.0,0.0,0.0,,0.0,0.0,19.0,103.0,67.0,2.0,1.0,1.0,2.0,1.0,27.0,21.0,77.8,3.0,
Pablo Fornals,2021-10-03,Sun,7,Home,L 1–2,West Ham,Brentford,Y,LW,90.0,49.0,0.0,0.0,23.0,27.0,3.0,47.0,1.0,3.0,33.3,1.0,0.0,38.0,140.0,53.0,3.0,1.0,0.0,1.0,0.0,43.0,36.0,83.7,5.0,
Pablo Fornals,2021-10-17,Sun,8,Away,W 1–0,West Ham,Everton,Y,"LW,DM",90.0,65.0,0.0,10.0,31.0,27.0,4.0,62.0,0.0,2.0,0.0,0.0,0.0,48.0,222.0,101.0,4.0,1.0,0.0,2.0,0.0,56.0,42.0,75.0,6.0,
Pablo Fornals,2021-10-24,Sun,9,Home,W 1–0,West Ham,Tottenham,Y,LW,90.0,46.0,3.0,12.0,22.0,14.0,3.0,46.0,3.0,4.0,75.0,3.0,0.0,31.0,218.0,110.0,6.0,0.0,1.0,1.0,0.0,49.0,34.0,69.4,6.0,
Pablo Fornals,2021-10-31,Sun,10,Away,W 4–1,West Ham,Aston Villa,Y,"AM,LW",89.0,42.0,2.0,4.0,26.0,18.0,1.0,38.0,1.0,4.0,25.0,1.0,0.0,30.0,156.0,92.0,7.0,4.0,0.0,1.0,0.0,41.0,30.0,73.2,6.0,
Pablo Fornals,2021-11-07,Sun,11,Home,W 3–2,West Ham,Liverpool,Y,AM,90.0,49.0,2.0,12.0,24.0,13.0,1.0,46.0,1.0,1.0,100.0,1.0,1.0,31.0,126.0,66.0,2.0,0.0,0.0,0.0,4.0,37.0,30.0,81.1,3.0,
Pablo Fornals,2021-11-20,Sat,12,Away,L 0–1,West Ham,Wolves,Y,LW,58.0,23.0,1.0,7.0,10.0,6.0,0.0,23.0,0.0,0.0,,0.0,0.0,15.0,43.0,16.0,0.0,0.0,0.0,0.0,0.0,18.0,15.0,83.3,0.0,
Pablo Fornals,2021-11-28,Sun,13,Away,L 1–2,West Ham,Manchester City,Y,"RW,LW",90.0,49.0,2.0,11.0,21.0,18.0,0.0,46.0,0.0,3.0,0.0,0.0,0.0,32.0,122.0,88.0,5.0,0.0,0.0,6.0,0.0,39.0,27.0,69.2,1.0,
Pablo Fornals,2021-12-01,Wed,14,Home,D 1–1,West Ham,Brighton,Y,"AM,LW",76.0,31.0,0.0,5.0,14.0,12.0,2.0,27.0,1.0,2.0,50.0,1.0,1.0,17.0,87.0,42.0,1.0,0.0,0.0,1.0,0.0,23.0,15.0,65.2,0.0,
Saïd Benrahma,2021-08-15,Sun,1,Away,W 4–2,West Ham,Newcastle Utd,Y,AM,87.0,44.0,1.0,5.0,10.0,32.0,6.0,42.0,1.0,3.0,33.3,1.0,0.0,37.0,218.0,117.0,6.0,2.0,2.0,0.0,2.0,52.0,37.0,71.2,10.0,
Saïd Benrahma,2021-08-23,Mon,2,Home,W 4–1,West Ham,Leicester City,Y,LW,87.0,50.0,0.0,3.0,21.0,28.0,5.0,50.0,1.0,2.0,50.0,2.0,0.0,40.0,171.0,87.0,5.0,1.0,1.0,2.0,3.0,51.0,42.0,82.4,12.0,
Saïd Benrahma,2021-08-28,Sat,3,Home,D 2–2,West Ham,Crystal Palace,Y,"LW,AM",90.0,39.0,2.0,6.0,17.0,19.0,3.0,39.0,1.0,2.0,50.0,1.0,0.0,31.0,141.0,87.0,2.0,0.0,0.0,4.0,2.0,45.0,30.0,66.7,8.0,
Saïd Benrahma,2021-09-11,Sat,4,Away,D 0–0,West Ham,Southampton,Y,AM,62.0,49.0,0.0,3.0,26.0,24.0,1.0,48.0,0.0,1.0,0.0,0.0,0.0,36.0,216.0,106.0,6.0,3.0,1.0,2.0,0.0,47.0,38.0,80.9,7.0,
Saïd Benrahma,2021-09-19,Sun,5,Home,L 1–2,West Ham,Manchester Utd,Y,FW,87.0,51.0,0.0,7.0,26.0,20.0,1.0,50.0,2.0,2.0,100.0,2.0,0.0,39.0,134.0,79.0,2.0,1.0,1.0,3.0,2.0,42.0,38.0,90.5,7.0,
Saïd Benrahma,2021-09-25,Sat,6,Away,W 2–1,West Ham,Leeds United,Y,"LW,RW",90.0,48.0,1.0,7.0,19.0,26.0,5.0,46.0,2.0,3.0,66.7,2.0,0.0,39.0,221.0,89.0,6.0,1.0,2.0,1.0,3.0,36.0,34.0,94.4,7.0,
Saïd Benrahma,2021-10-03,Sun,7,Home,L 1–2,West Ham,Brentford,Y,AM,90.0,43.0,0.0,2.0,17.0,26.0,2.0,39.0,0.0,1.0,0.0,0.0,0.0,27.0,163.0,70.0,3.0,1.0,1.0,0.0,2.0,30.0,22.0,73.3,3.0,
Saïd Benrahma,2021-10-17,Sun,8,Away,W 1–0,West Ham,Everton,Y,AM,86.0,44.0,0.0,2.0,18.0,26.0,4.0,43.0,1.0,2.0,50.0,1.0,0.0,37.0,272.0,143.0,7.0,2.0,1.0,0.0,0.0,56.0,35.0,62.5,7.0,
Saïd Benrahma,2021-10-24,Sun,9,Home,W 1–0,West Ham,Tottenham,Y,AM,84.0,42.0,0.0,4.0,25.0,17.0,5.0,41.0,0.0,3.0,0.0,0.0,1.0,30.0,143.0,47.0,3.0,1.0,0.0,4.0,1.0,40.0,31.0,77.5,6.0,
Saïd Benrahma,2021-10-31,Sun,10,Away,W 4–1,West Ham,Aston Villa,Y,LW,63.0,29.0,1.0,6.0,11.0,13.0,0.0,28.0,1.0,2.0,50.0,1.0,0.0,24.0,193.0,90.0,4.0,1.0,0.0,1.0,1.0,31.0,24.0,77.4,3.0,
Saïd Benrahma,2021-11-07,Sun,11,Home,W 3–2,West Ham,Liverpool,Y,LW,85.0,37.0,2.0,7.0,18.0,18.0,5.0,37.0,2.0,2.0,100.0,2.0,0.0,32.0,264.0,203.0,6.0,2.0,2.0,3.0,1.0,42.0,29.0,69.0,6.0,
Saïd Benrahma,2021-11-20,Sat,12,Away,L 0–1,West Ham,Wolves,Y,AM,70.0,46.0,0.0,7.0,29.0,16.0,1.0,43.0,2.0,5.0,40.0,3.0,1.0,30.0,133.0,58.0,3.0,2.0,1.0,1.0,2.0,36.0,31.0,86.1,5.0,
Saïd Benrahma,2021-11-28,Sun,13,Away,L 1–2,West Ham,Manchester City,Y,AM,58.0,18.0,0.0,2.0,8.0,9.0,5.0,18.0,2.0,2.0,100.0,2.0,0.0,16.0,80.0,23.0,1.0,1.0,0.0,2.0,1.0,26.0,15.0,57.7,5.0,
Saïd Benrahma,2021-12-01,Wed,14,Home,D 1–1,West Ham,Brighton,Y,"LW,AM",75.0,41.0,3.0,13.0,13.0,17.0,1.0,41.0,2.0,7.0,28.6,3.0,0.0,26.0,148.0,99.0,4.0,1.0,0.0,0.0,1.0,24.0,19.0,79.2,3.0,
Michail Antonio,2021-08-15,Sun,1,Away,W 4–2,West Ham,Newcastle Utd,Y,FW,89.0,41.0,1.0,4.0,16.0,23.0,6.0,39.0,1.0,2.0,50.0,1.0,0.0,26.0,116.0,67.0,5.0,1.0,1.0,4.0,1.0,55.0,34.0,61.8,16.0,
Michail Antonio,2021-08-23,Mon,2,Home,W 4–1,West Ham,Leicester City,Y,FW,88.0,39.0,0.0,0.0,17.0,27.0,8.0,38.0,2.0,2.0,100.0,2.0,0.0,27.0,175.0,119.0,6.0,4.0,0.0,2.0,3.0,50.0,30.0,60.0,4.0,
Michail Antonio,2021-08-28,Sat,3,Home,D 2–2,West Ham,Crystal Palace,Y,FW,90.0,42.0,0.0,1.0,11.0,32.0,12.0,42.0,1.0,1.0,100.0,1.0,0.0,32.0,150.0,108.0,4.0,2.0,2.0,3.0,2.0,53.0,35.0,66.0,9.0,
Michail Antonio,2021-09-11,Sat,4,Away,D 0–0,West Ham,Southampton,Y,FW,89.0,43.0,0.0,2.0,16.0,26.0,5.0,43.0,0.0,2.0,0.0,0.0,0.0,33.0,114.0,56.0,3.0,0.0,1.0,6.0,2.0,64.0,36.0,56.3,7.0,
Michail Antonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michail Antonio,2021-09-25,Sat,6,Away,W 2–1,West Ham,Leeds United,Y,FW,89.0,46.0,0.0,2.0,23.0,24.0,9.0,46.0,3.0,4.0,75.0,3.0,0.0,42.0,261.0,145.0,9.0,3.0,3.0,4.0,3.0,56.0,38.0,67.9,9.0,
Michail Antonio,2021-10-03,Sun,7,Home,L 1–2,West Ham,Brentford,Y,FW,90.0,39.0,0.0,3.0,8.0,31.0,10.0,38.0,3.0,3.0,100.0,3.0,0.0,34.0,155.0,88.0,6.0,1.0,2.0,3.0,3.0,49.0,26.0,53.1,12.0,
Michail Antonio,2021-10-17,Sun,8,Away,W 1–0,West Ham,Everton,Y,FW,90.0,47.0,2.0,4.0,23.0,24.0,4.0,47.0,0.0,2.0,0.0,0.0,0.0,39.0,187.0,93.0,6.0,1.0,1.0,5.0,4.0,61.0,34.0,55.7,7.0,
Michail Antonio,2021-10-24,Sun,9,Home,W 1–0,West Ham,Tottenham,Y,FW,90.0,32.0,1.0,3.0,13.0,17.0,4.0,32.0,0.0,4.0,0.0,1.0,1.0,27.0,120.0,54.0,5.0,1.0,0.0,4.0,2.0,62.0,26.0,41.9,5.0,
Michail Antonio,2021-10-31,Sun,10,Away,W 4–1,West Ham,Aston Villa,Y,FW,90.0,35.0,0.0,5.0,10.0,21.0,6.0,35.0,0.0,1.0,0.0,0.0,0.0,29.0,139.0,105.0,6.0,1.0,4.0,6.0,5.0,44.0,26.0,59.1,8.0,
Michail Antonio,2021-11-07,Sun,11,Home,W 3–2,West Ham,Liverpool,Y,FW,90.0,28.0,1.0,5.0,16.0,11.0,2.0,26.0,1.0,1.0,100.0,1.0,1.0,19.0,165.0,128.0,4.0,1.0,2.0,6.0,3.0,43.0,18.0,41.9,5.0,
Michail Antonio,2021-11-20,Sat,12,Away,L 0–1,West Ham,Wolves,Y,FW,90.0,36.0,0.0,1.0,9.0,29.0,5.0,35.0,2.0,4.0,50.0,2.0,0.0,31.0,197.0,141.0,6.0,3.0,1.0,6.0,3.0,45.0,26.0,57.8,11.0,
Michail Antonio,2021-11-28,Sun,13,Away,L 1–2,West Ham,Manchester City,Y,FW,90.0,28.0,0.0,4.0,11.0,18.0,4.0,27.0,2.0,5.0,40.0,2.0,0.0,24.0,94.0,63.0,2.0,1.0,1.0,4.0,2.0,49.0,19.0,38.8,5.0,
Michail Antonio,2021-12-01,Wed,14,Home,D 1–1,West Ham,Brighton,Y,FW,90.0,32.0,1.0,6.0,12.0,16.0,7.0,31.0,0.0,3.0,0.0,1.0,1.0,16.0,73.0,34.0,1.0,1.0,0.0,0.0,1.0,43.0,23.0,53.5,8.0,
Aaron Cresswell,2021-08-15,Sun,1,Away,W 4–2,West Ham,Newcastle Utd,Y,"LB,CB",90.0,90.0,5.0,30.0,39.0,26.0,1.0,76.0,0.0,1.0,0.0,0.0,0.0,54.0,213.0,107.0,4.0,1.0,0.0,0.0,1.0,58.0,58.0,100.0,0.0,
Aaron Cresswell,2021-08-23,Mon,2,Home,W 4–1,West Ham,Leicester City,Y,LB,90.0,81.0,1.0,21.0,42.0,30.0,2.0,70.0,0.0,0.0,,0.0,0.0,49.0,301.0,162.0,4.0,5.0,0.0,0.0,1.0,65.0,62.0,95.4,2.0,
Aaron Cresswell,2021-08-28,Sat,3,Home,D 2–2,West Ham,Crystal Palace,Y,LB,90.0,73.0,2.0,15.0,36.0,24.0,3.0,56.0,0.0,1.0,0.0,0.0,0.0,31.0,127.0,61.0,4.0,0.0,0.0,0.0,0.0,39.0,37.0,94.9,2.0,
Aaron Cresswell,2021-09-11,Sat,4,Away,D 0–0,West Ham,Southampton,Y,LB,90.0,74.0,3.0,15.0,45.0,16.0,0.0,64.0,0.0,0.0,,0.0,0.0,45.0,136.0,52.0,0.0,0.0,0.0,0.0,0.0,53.0,52.0,98.1,0.0,
Aaron Cresswell,2021-09-19,Sun,5,Home,L 1–2,West Ham,Manchester Utd,Y,LB,90.0,61.0,4.0,21.0,31.0,15.0,1.0,55.0,0.0,0.0,,0.0,0.0,38.0,205.0,124.0,7.0,4.0,0.0,0.0,1.0,49.0,45.0,91.8,2.0,
Aaron Cresswell,2021-09-25,Sat,6,Away,W 2–1,West Ham,Leeds United,Y,"LB,WB",90.0,61.0,3.0,24.0,24.0,19.0,1.0,45.0,0.0,0.0,,0.0,0.0,27.0,188.0,113.0,5.0,3.0,0.0,0.0,0.0,31.0,28.0,90.3,0.0,
Aaron Cresswell,2021-10-03,Sun,7,Home,L 1–2,West Ham,Brentford,Y,LB,90.0,95.0,2.0,17.0,50.0,38.0,0.0,74.0,0.0,0.0,,0.0,0.0,58.0,381.0,208.0,7.0,7.0,0.0,0.0,0.0,60.0,58.0,96.7,1.0,
