name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,bench_explain
Mohamed Salah,2021-09-25,Sat,6,Away,D 3–3,Liverpool,Brentford,Y,"RW,FW",90.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,46.0,9.0,0.0,0.0,0.0,1.1,1.1,0.1,4.0,1.0,24.0,37.0,64.9,2.0,40.0,3.0,2.0,2.0,
Mohamed Salah,2021-10-03,Sun,7,Home,D 2–2,Liverpool,Manchester City,Y,RW,90.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,42.0,33.0,3.0,2.0,1.0,0.2,0.2,0.7,5.0,4.0,18.0,23.0,78.3,6.0,28.0,7.0,4.0,6.0,
Mohamed Salah,2021-10-16,Sat,8,Away,W 5–0,Liverpool,Watford,Y,RW,90.0,1.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,63.0,13.0,0.0,0.0,0.0,0.3,0.3,0.4,5.0,3.0,42.0,50.0,84.0,7.0,55.0,10.0,4.0,6.0,
Mohamed Salah,2021-10-24,Sun,9,Away,W 5–0,Liverpool,Manchester Utd,Y,RW,90.0,3.0,1.0,0.0,0.0,7.0,4.0,0.0,0.0,59.0,8.0,0.0,0.0,0.0,1.4,1.4,0.8,3.0,2.0,45.0,49.0,91.8,4.0,26.0,7.0,0.0,1.0,
Mohamed Salah,2021-10-30,Sat,10,Home,D 2–2,Liverpool,Brighton,Y,"RW,FW",90.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,38.0,18.0,0.0,0.0,0.0,0.1,0.1,0.5,3.0,1.0,21.0,30.0,70.0,3.0,29.0,7.0,2.0,3.0,
Mohamed Salah,2021-11-07,Sun,11,Away,L 2–3,Liverpool,West Ham,Y,RW,90.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,44.0,11.0,0.0,0.0,0.0,0.1,0.1,0.1,2.0,1.0,25.0,30.0,83.3,4.0,31.0,5.0,2.0,6.0,
Mohamed Salah,2021-11-20,Sat,12,Home,W 4–0,Liverpool,Arsenal,Y,RW,90.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,47.0,10.0,0.0,0.0,0.0,1.2,1.2,0.4,3.0,1.0,26.0,32.0,81.3,2.0,39.0,7.0,1.0,4.0,
Mohamed Salah,2021-11-27,Sat,13,Home,W 4–0,Liverpool,Southampton,Y,RW,90.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,47.0,17.0,0.0,0.0,0.0,0.1,0.1,0.8,2.0,1.0,21.0,30.0,70.0,5.0,40.0,9.0,1.0,4.0,
Mohamed Salah,2021-12-01,Wed,14,Away,W 4–1,Liverpool,Everton,Y,RW,90.0,2.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,53.0,13.0,1.0,1.0,1.0,1.1,1.1,0.0,1.0,0.0,31.0,39.0,79.5,4.0,32.0,9.0,0.0,3.0,
Sadio Mané,2021-08-14,Sat,1,Away,W 3–0,Liverpool,Norwich City,Y,LW,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,44.0,19.0,2.0,0.0,0.0,0.2,0.2,0.2,4.0,1.0,19.0,31.0,61.3,3.0,32.0,7.0,1.0,2.0,
