name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,bench_explain
Eric Dier,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y,CB,90.0,54.0,61.0,88.5,1055.0,431.0,17.0,17.0,100.0,32.0,34.0,94.1,5.0,9.0,55.6,0.0,0.0,0.0,4.0,1.0,0.0,5.0,
Eric Dier,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y,CB,90.0,95.0,101.0,94.1,1981.0,594.0,24.0,25.0,96.0,63.0,64.0,98.4,8.0,12.0,66.7,0.0,0.0,0.0,4.0,0.0,0.0,3.0,
Eric Dier,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,Y,CB,90.0,52.0,59.0,88.1,1067.0,317.0,18.0,19.0,94.7,27.0,29.0,93.1,7.0,10.0,70.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,
Eric Dier,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y,CB,90.0,45.0,47.0,95.7,1008.0,235.0,8.0,8.0,100.0,31.0,31.0,100.0,6.0,8.0,75.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,
Eric Dier,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,Y,CB,90.0,50.0,60.0,83.3,1036.0,582.0,14.0,14.0,100.0,28.0,29.0,96.6,8.0,17.0,47.1,0.0,0.3,1.0,3.0,1.0,0.0,7.0,
Son Heung-min,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y,FW,90.0,25.0,32.0,78.1,332.0,84.0,12.0,15.0,80.0,8.0,8.0,100.0,2.0,6.0,33.3,0.0,0.1,1.0,1.0,1.0,0.0,1.0,
Son Heung-min,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y,FW,71.0,10.0,18.0,55.6,122.0,12.0,8.0,8.0,100.0,2.0,6.0,33.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
Son Heung-min,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y,"RW,LW",87.0,32.0,47.0,68.1,530.0,113.0,19.0,22.0,86.4,10.0,13.0,76.9,3.0,10.0,30.0,0.0,0.1,2.0,0.0,3.0,0.0,4.0,
Son Heung-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Son Heung-min,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,Y,FW,90.0,27.0,34.0,79.4,437.0,146.0,19.0,21.0,90.5,2.0,3.0,66.7,6.0,9.0,66.7,0.0,0.0,1.0,2.0,1.0,0.0,2.0,
Son Heung-min,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y,"LW,AM",90.0,29.0,33.0,87.9,475.0,149.0,16.0,17.0,94.1,8.0,8.0,100.0,3.0,6.0,50.0,0.0,0.2,3.0,0.0,1.0,0.0,3.0,
Son Heung-min,2021-10-03,Sun,7,Home,W 2–1,Tottenham,Aston Villa,Y,LW,90.0,31.0,38.0,81.6,448.0,134.0,17.0,21.0,81.0,10.0,10.0,100.0,2.0,4.0,50.0,1.0,0.1,2.0,2.0,2.0,0.0,5.0,
Son Heung-min,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y,LW,90.0,38.0,50.0,76.0,580.0,132.0,23.0,24.0,95.8,10.0,13.0,76.9,4.0,12.0,33.3,0.0,0.3,5.0,0.0,2.0,0.0,3.0,
Son Heung-min,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y,LW,90.0,37.0,47.0,78.7,658.0,115.0,12.0,13.0,92.3,23.0,24.0,95.8,2.0,9.0,22.2,0.0,0.4,2.0,1.0,0.0,0.0,2.0,
Son Heung-min,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,Y,"LW,RW",90.0,39.0,55.0,70.9,605.0,95.0,24.0,26.0,92.3,11.0,11.0,100.0,4.0,15.0,26.7,0.0,0.1,1.0,0.0,2.0,1.0,1.0,
Son Heung-min,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y,AM,84.0,23.0,29.0,79.3,333.0,60.0,14.0,15.0,93.3,7.0,7.0,100.0,2.0,5.0,40.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,
