name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,bench_explain
Pierre Højbjerg,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y,DM,90.0,108.0,3.0,26.0,74.0,21.0,0.0,107.0,0.0,1.0,0.0,0.0,0.0,67.0,453.0,241.0,8.0,4.0,0.0,0.0,1.0,84.0,80.0,95.2,2.0,
Pierre Højbjerg,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y,DM,90.0,106.0,2.0,19.0,82.0,12.0,0.0,104.0,1.0,1.0,100.0,1.0,0.0,71.0,367.0,183.0,4.0,1.0,0.0,0.0,0.0,87.0,83.0,95.4,0.0,
Pierre Højbjerg,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,Y,DM,90.0,93.0,4.0,26.0,54.0,17.0,1.0,92.0,2.0,6.0,33.3,2.0,0.0,75.0,249.0,131.0,2.0,0.0,0.0,0.0,0.0,73.0,70.0,95.9,3.0,
Pierre Højbjerg,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y,DM,90.0,83.0,1.0,24.0,56.0,8.0,0.0,79.0,4.0,4.0,100.0,4.0,1.0,67.0,184.0,110.0,2.0,1.0,0.0,0.0,3.0,67.0,63.0,94.0,2.0,
Pierre Højbjerg,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,Y,DM,90.0,69.0,1.0,24.0,43.0,7.0,1.0,65.0,0.0,2.0,0.0,0.0,0.0,47.0,187.0,69.0,2.0,1.0,0.0,1.0,1.0,47.0,45.0,95.7,2.0,
Eric Dier,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y,CB,90.0,32.0,7.0,22.0,12.0,0.0,0.0,32.0,0.0,0.0,,0.0,0.0,16.0,52.0,8.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,100.0,0.0,
Eric Dier,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y,CB,90.0,50.0,14.0,38.0,10.0,2.0,1.0,46.0,0.0,1.0,0.0,0.0,0.0,23.0,68.0,30.0,0.0,0.0,0.0,0.0,0.0,29.0,28.0,96.6,0.0,
Eric Dier,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y,CB,90.0,63.0,9.0,25.0,38.0,3.0,1.0,62.0,0.0,0.0,,0.0,0.0,46.0,210.0,120.0,4.0,1.0,0.0,0.0,0.0,51.0,51.0,100.0,0.0,
Eric Dier,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y,CB,11.0,5.0,0.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,
Eric Dier,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,Y,CB,90.0,75.0,25.0,54.0,22.0,2.0,1.0,73.0,0.0,0.0,,0.0,0.0,45.0,212.0,96.0,1.0,0.0,0.0,0.0,0.0,49.0,49.0,100.0,0.0,
Eric Dier,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y,CB,90.0,68.0,8.0,33.0,39.0,1.0,1.0,66.0,0.0,0.0,,0.0,0.0,41.0,238.0,94.0,1.0,0.0,0.0,1.0,0.0,52.0,51.0,98.1,1.0,
Eric Dier,2021-10-03,Sun,7,Home,W 2–1,Tottenham,Aston Villa,Y,CB,90.0,60.0,21.0,44.0,16.0,1.0,0.0,60.0,0.0,0.0,,0.0,0.0,27.0,113.0,41.0,0.0,0.0,0.0,0.0,0.0,29.0,28.0,96.6,0.0,
Eric Dier,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y,CB,90.0,66.0,17.0,41.0,25.0,2.0,2.0,65.0,0.0,0.0,,0.0,0.0,45.0,313.0,161.0,2.0,0.0,0.0,0.0,0.0,54.0,53.0,98.1,1.0,
Eric Dier,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y,CB,90.0,110.0,11.0,55.0,66.0,1.0,0.0,108.0,0.0,0.0,,0.0,0.0,70.0,319.0,202.0,2.0,0.0,0.0,0.0,0.0,90.0,90.0,100.0,0.0,
Eric Dier,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,Y,CB,90.0,64.0,11.0,40.0,22.0,3.0,2.0,61.0,0.0,0.0,,0.0,0.0,47.0,170.0,101.0,3.0,0.0,0.0,1.0,0.0,52.0,50.0,96.2,0.0,
Eric Dier,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y,CB,90.0,57.0,11.0,40.0,22.0,0.0,0.0,56.0,0.0,0.0,,0.0,0.0,37.0,281.0,187.0,3.0,0.0,0.0,0.0,0.0,43.0,41.0,95.3,0.0,
Eric Dier,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,Y,CB,90.0,72.0,20.0,48.0,29.0,1.0,0.0,71.0,0.0,0.0,,0.0,0.0,44.0,346.0,257.0,2.0,0.0,0.0,0.0,0.0,53.0,53.0,100.0,0.0,
Son Heung-min,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y,FW,90.0,44.0,0.0,0.0,18.0,28.0,4.0,39.0,1.0,1.0,100.0,1.0,0.0,26.0,189.0,96.0,7.0,2.0,0.0,5.0,1.0,53.0,35.0,66.0,14.0,
Son Heung-min,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y,FW,71.0,26.0,0.0,2.0,15.0,9.0,3.0,22.0,1.0,1.0,100.0,1.0,0.0,17.0,69.0,56.0,1.0,0.0,1.0,3.0,1.0,29.0,16.0,55.2,1.0,
Son Heung-min,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y,"RW,LW",87.0,55.0,0.0,2.0,9.0,47.0,9.0,43.0,3.0,4.0,75.0,3.0,0.0,39.0,149.0,77.0,3.0,2.0,0.0,2.0,2.0,42.0,34.0,81.0,11.0,
Son Heung-min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Son Heung-min,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,Y,FW,90.0,44.0,0.0,3.0,18.0,23.0,5.0,35.0,2.0,3.0,66.7,2.0,0.0,28.0,83.0,45.0,3.0,0.0,1.0,3.0,2.0,44.0,26.0,59.1,6.0,
Son Heung-min,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y,"LW,AM",90.0,43.0,0.0,0.0,25.0,24.0,2.0,35.0,0.0,2.0,0.0,0.0,0.0,26.0,192.0,127.0,5.0,4.0,1.0,3.0,2.0,41.0,29.0,70.7,4.0,
Son Heung-min,2021-10-03,Sun,7,Home,W 2–1,Tottenham,Aston Villa,Y,LW,90.0,55.0,1.0,7.0,16.0,37.0,9.0,51.0,3.0,5.0,60.0,4.0,0.0,41.0,328.0,200.0,8.0,3.0,4.0,1.0,3.0,52.0,41.0,78.8,9.0,
Son Heung-min,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y,LW,90.0,62.0,0.0,6.0,30.0,35.0,5.0,52.0,0.0,4.0,0.0,1.0,0.0,43.0,336.0,225.0,12.0,7.0,2.0,1.0,5.0,55.0,42.0,76.4,8.0,
Son Heung-min,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y,LW,90.0,53.0,0.0,3.0,21.0,31.0,3.0,47.0,1.0,1.0,100.0,1.0,0.0,37.0,123.0,17.0,1.0,1.0,0.0,1.0,2.0,52.0,38.0,73.1,7.0,
Son Heung-min,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,Y,"LW,RW",90.0,67.0,1.0,5.0,20.0,45.0,2.0,55.0,1.0,2.0,50.0,1.0,0.0,48.0,251.0,72.0,5.0,1.0,0.0,1.0,3.0,63.0,45.0,71.4,9.0,
Son Heung-min,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y,AM,84.0,36.0,0.0,6.0,25.0,8.0,0.0,35.0,3.0,3.0,100.0,3.0,0.0,30.0,148.0,73.0,4.0,2.0,0.0,1.0,3.0,48.0,30.0,62.5,6.0,
Son Heung-min,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,Y,LW,90.0,52.0,1.0,4.0,28.0,25.0,6.0,48.0,4.0,7.0,57.1,5.0,1.0,46.0,300.0,142.0,7.0,2.0,3.0,0.0,2.0,45.0,37.0,82.2,9.0,
Sergio Reguilón,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y,LB,90.0,28.0,1.0,5.0,13.0,10.0,1.0,22.0,0.0,0.0,,0.0,0.0,13.0,50.0,36.0,2.0,0.0,0.0,1.0,1.0,18.0,13.0,72.2,0.0,
Sergio Reguilón,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y,LB,90.0,60.0,7.0,29.0,27.0,7.0,0.0,47.0,0.0,1.0,0.0,0.0,0.0,25.0,156.0,83.0,4.0,0.0,0.0,1.0,1.0,24.0,21.0,87.5,1.0,
Sergio Reguilón,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y,LB,90.0,48.0,1.0,9.0,21.0,21.0,1.0,44.0,0.0,1.0,0.0,0.0,0.0,33.0,117.0,39.0,1.0,2.0,0.0,0.0,0.0,32.0,28.0,87.5,2.0,
Sergio Reguilón,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y,LB,90.0,48.0,4.0,11.0,27.0,12.0,1.0,37.0,1.0,4.0,25.0,1.0,0.0,27.0,82.0,51.0,3.0,1.0,0.0,0.0,1.0,27.0,23.0,85.2,3.0,
Sergio Reguilón,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,Y,LB,90.0,69.0,5.0,20.0,33.0,22.0,1.0,64.0,1.0,1.0,100.0,1.0,0.0,44.0,195.0,94.0,5.0,3.0,1.0,2.0,0.0,46.0,45.0,97.8,1.0,
Sergio Reguilón,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y,LB,90.0,62.0,5.0,15.0,21.0,27.0,1.0,51.0,0.0,1.0,0.0,0.0,0.0,33.0,156.0,88.0,6.0,1.0,0.0,2.0,0.0,37.0,33.0,89.2,2.0,
Sergio Reguilón,2021-10-03,Sun,7,Home,W 2–1,Tottenham,Aston Villa,Y,LB,90.0,61.0,6.0,24.0,30.0,9.0,1.0,55.0,3.0,4.0,75.0,3.0,0.0,37.0,171.0,125.0,2.0,1.0,0.0,0.0,0.0,37.0,35.0,94.6,2.0,
Sergio Reguilón,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y,LB,90.0,81.0,3.0,23.0,45.0,23.0,1.0,75.0,2.0,5.0,40.0,2.0,0.0,56.0,365.0,164.0,6.0,5.0,1.0,2.0,0.0,61.0,60.0,98.4,3.0,
Sergio Reguilón,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y,LB,83.0,57.0,5.0,18.0,15.0,26.0,1.0,51.0,0.0,4.0,0.0,0.0,0.0,37.0,183.0,110.0,4.0,1.0,0.0,2.0,2.0,44.0,35.0,79.5,4.0,
Sergio Reguilón,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,N,,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Sergio Reguilón,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y,WB,70.0,66.0,1.0,14.0,31.0,23.0,3.0,52.0,1.0,3.0,33.3,1.0,0.0,36.0,86.0,48.0,1.0,0.0,1.0,2.0,1.0,45.0,39.0,86.7,6.0,
Sergio Reguilón,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,Y,WB,78.0,47.0,5.0,13.0,19.0,18.0,6.0,45.0,0.0,4.0,0.0,0.0,1.0,29.0,138.0,82.0,4.0,2.0,0.0,1.0,1.0,29.0,18.0,62.1,3.0,
Harry Kane,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,N,FW,19.0,15.0,0.0,0.0,10.0,6.0,2.0,15.0,0.0,0.0,,0.0,0.0,7.0,87.0,56.0,2.0,1.0,0.0,1.0,1.0,15.0,11.0,73.3,1.0,
Harry Kane,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y,FW,90.0,34.0,2.0,2.0,13.0,20.0,9.0,34.0,2.0,3.0,66.7,2.0,0.0,29.0,155.0,51.0,3.0,1.0,3.0,1.0,2.0,49.0,28.0,57.1,10.0,
Harry Kane,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y,FW,90.0,38.0,3.0,5.0,22.0,13.0,0.0,36.0,2.0,3.0,66.7,2.0,0.0,26.0,53.0,22.0,1.0,1.0,0.0,6.0,2.0,44.0,26.0,59.1,4.0,
