name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,sca,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,bench_explain
Eric Dier,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y,CB,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Eric Dier,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Eric Dier,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y,CB,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Eric Dier,2021-10-03,Sun,7,Home,W 2–1,Tottenham,Aston Villa,Y,CB,90.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Eric Dier,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y,CB,90.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Eric Dier,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y,CB,90.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Eric Dier,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Eric Dier,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y,CB,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Eric Dier,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,Y,CB,90.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
Son Heung-min,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y,FW,90.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Son Heung-min,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y,FW,71.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Son Heung-min,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y,"RW,LW",87.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Son Heung-min,,,,,,,,,,,,,,,,,,,,,,,,,
Son Heung-min,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,Y,FW,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Son Heung-min,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y,"LW,AM",90.0,6.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Son Heung-min,2021-10-03,Sun,7,Home,W 2–1,Tottenham,Aston Villa,Y,LW,90.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Son Heung-min,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y,LW,90.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Son Heung-min,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y,LW,90.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Son Heung-min,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,Y,"LW,RW",90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Son Heung-min,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y,AM,84.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Son Heung-min,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,Y,LW,90.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sergio Reguilón,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y,LB,90.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sergio Reguilón,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y,LB,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Sergio Reguilón,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y,LB,90.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Sergio Reguilón,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y,LB,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sergio Reguilón,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,Y,LB,90.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sergio Reguilón,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y,LB,90.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Sergio Reguilón,2021-10-03,Sun,7,Home,W 2–1,Tottenham,Aston Villa,Y,LB,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sergio Reguilón,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y,LB,90.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Sergio Reguilón,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y,LB,83.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sergio Reguilón,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,N,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Sergio Reguilón,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y,WB,70.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sergio Reguilón,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,Y,WB,78.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Harry Kane,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,N,FW,19.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Harry Kane,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y,FW,90.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Harry Kane,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y,FW,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Harry Kane,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,Y,AM,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Harry Kane,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y,FW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Harry Kane,2021-10-03,Sun,7,Home,W 2–1,Tottenham,Aston Villa,Y,FW,90.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Harry Kane,2021-10-17,Sun,8,Away,W 3–2,Tottenham,Newcastle Utd,Y,FW,90.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Harry Kane,2021-10-24,Sun,9,Away,L 0–1,Tottenham,West Ham,Y,FW,90.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Harry Kane,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,Y,FW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Harry Kane,2021-11-07,Sun,11,Away,D 0–0,Tottenham,Everton,Y,FW,90.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Harry Kane,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,Y,FW,90.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
