name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,bench_explain
Ederson,2021-10-03,Sun,7,Away,D 2–2,Manchester City,Liverpool,Y,GK,90.0,38.0,35.0,38.0,0.0,0.0,0.0,34.0,0.0,0.0,,0.0,0.0,24.0,108.0,64.0,0.0,0.0,0.0,0.0,0.0,22.0,21.0,95.5,0.0,
Ederson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ederson,2021-10-23,Sat,9,Away,W 4–1,Manchester City,Brighton,Y,GK,90.0,38.0,35.0,38.0,0.0,0.0,0.0,29.0,0.0,0.0,,0.0,0.0,17.0,33.0,14.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,100.0,0.0,
Ederson,2021-10-30,Sat,10,Home,L 0–2,Manchester City,Crystal Palace,Y,GK,90.0,31.0,22.0,31.0,0.0,0.0,0.0,26.0,0.0,0.0,,0.0,0.0,20.0,62.0,31.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,100.0,0.0,
Ederson,2021-11-06,Sat,11,Away,W 2–0,Manchester City,Manchester Utd,Y,GK,90.0,25.0,24.0,25.0,0.0,0.0,0.0,19.0,0.0,0.0,,0.0,0.0,16.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,100.0,0.0,
Ederson,2021-11-21,Sun,12,Home,W 3–0,Manchester City,Everton,Y,GK,90.0,24.0,20.0,23.0,1.0,0.0,0.0,23.0,0.0,0.0,,0.0,0.0,14.0,50.0,24.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,100.0,0.0,
Ederson,2021-11-28,Sun,13,Home,W 2–1,Manchester City,West Ham,Y,GK,90.0,42.0,33.0,42.0,0.0,0.0,0.0,39.0,0.0,0.0,,0.0,0.0,28.0,108.0,60.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,100.0,0.0,
Ederson,2021-12-01,Wed,14,Away,W 2–1,Manchester City,Aston Villa,Y,GK,90.0,22.0,20.0,22.0,0.0,0.0,0.0,17.0,0.0,0.0,,0.0,0.0,12.0,36.0,16.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,92.9,0.0,
Bernardo Silva,2021-08-15,Sun,1,Away,L 0–1,Manchester City,Tottenham,N,,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Bernardo Silva,2021-08-21,Sat,2,Home,W 5–0,Manchester City,Norwich City,Y,CM,90.0,66.0,1.0,2.0,30.0,37.0,5.0,63.0,3.0,6.0,50.0,4.0,0.0,55.0,232.0,130.0,7.0,2.0,0.0,1.0,1.0,52.0,47.0,90.4,4.0,
Bernardo Silva,2021-08-28,Sat,3,Home,W 5–0,Manchester City,Arsenal,Y,CM,57.0,33.0,0.0,4.0,16.0,14.0,3.0,28.0,0.0,0.0,,0.0,0.0,23.0,173.0,90.0,4.0,1.0,0.0,0.0,0.0,31.0,27.0,87.1,4.0,
Bernardo Silva,2021-09-11,Sat,4,Away,W 1–0,Manchester City,Leicester City,Y,"CM,RW",90.0,63.0,0.0,3.0,23.0,38.0,9.0,62.0,2.0,5.0,40.0,2.0,0.0,46.0,265.0,129.0,10.0,1.0,3.0,0.0,1.0,55.0,46.0,83.6,14.0,
Bernardo Silva,2021-09-18,Sat,5,Home,D 0–0,Manchester City,Southampton,Y,CM,71.0,44.0,1.0,8.0,22.0,20.0,4.0,39.0,1.0,1.0,100.0,1.0,0.0,35.0,186.0,120.0,7.0,4.0,2.0,2.0,1.0,38.0,32.0,84.2,3.0,
Bernardo Silva,2021-09-25,Sat,6,Away,W 1–0,Manchester City,Chelsea,Y,CM,90.0,86.0,6.0,18.0,50.0,27.0,2.0,84.0,2.0,3.0,66.7,2.0,0.0,68.0,385.0,212.0,11.0,5.0,0.0,1.0,0.0,64.0,61.0,95.3,1.0,
