name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,bench_explain
Aaron Wan-Bissaka,2021-08-14,Sat,1,Home,W 5–1,Manchester Utd,Leeds United,Y,RB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,2.0,15.4,1.0,6.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,
Aaron Wan-Bissaka,2021-08-22,Sun,2,Away,D 1–1,Manchester Utd,Southampton,Y,RB,90.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,
Aaron Wan-Bissaka,2021-08-29,Sun,3,Away,W 1–0,Manchester Utd,Wolves,Y,"RB,CB",90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,3.0,37.5,2.0,6.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,
Aaron Wan-Bissaka,2021-09-11,Sat,4,Home,W 4–1,Manchester Utd,Newcastle Utd,Y,RB,90.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,8.0,5.0,62.5,3.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,
Aaron Wan-Bissaka,2021-09-19,Sun,5,Away,W 2–1,Manchester Utd,West Ham,Y,RB,90.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,15.0,6.0,40.0,4.0,5.0,6.0,3.0,0.0,0.0,3.0,2.0,3.0,4.0,0.0,
Aaron Wan-Bissaka,2021-09-25,Sat,6,Home,L 0–1,Manchester Utd,Aston Villa,Y,RB,90.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,11.0,2.0,18.2,7.0,4.0,0.0,2.0,0.0,0.0,2.0,3.0,5.0,4.0,0.0,
Aaron Wan-Bissaka,2021-10-02,Sat,7,Home,D 1–1,Manchester Utd,Everton,Y,RB,90.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,11.0,3.0,27.3,4.0,2.0,5.0,5.0,1.0,0.0,4.0,3.0,4.0,2.0,0.0,
Aaron Wan-Bissaka,2021-10-16,Sat,8,Away,L 2–4,Manchester Utd,Leicester City,Y,RB,90.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,25.0,3.0,14.0,6.0,42.9,7.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,0.0,
Aaron Wan-Bissaka,2021-10-24,Sun,9,Home,L 0–5,Manchester Utd,Liverpool,Y,"RB,WB",90.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,6.0,2.0,33.3,5.0,1.0,0.0,5.0,2.0,0.0,3.0,1.0,4.0,0.0,0.0,
Aaron Wan-Bissaka,2021-10-30,Sat,10,Away,W 3–0,Manchester Utd,Tottenham,Y,WB,90.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,10.0,3.0,30.0,6.0,3.0,1.0,2.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,
Aaron Wan-Bissaka,2021-11-06,Sat,11,Home,L 0–2,Manchester Utd,Manchester City,Y,"RB,WB",90.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,,0.0,13.0,2.0,15.4,9.0,3.0,1.0,3.0,0.0,0.0,3.0,2.0,4.0,1.0,0.0,
Aaron Wan-Bissaka,2021-11-20,Sat,12,Away,L 1–4,Manchester Utd,Watford,Y,RB,90.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,,0.0,15.0,4.0,26.7,10.0,1.0,4.0,3.0,1.0,0.0,2.0,3.0,6.0,5.0,0.0,
Aaron Wan-Bissaka,2021-11-28,Sun,13,Away,D 1–1,Manchester Utd,Chelsea,Y,RB,90.0,4.0,3.0,1.0,2.0,1.0,0.0,0.0,,0.0,9.0,2.0,22.2,5.0,2.0,2.0,7.0,4.0,0.0,3.0,0.0,4.0,8.0,0.0,
Bruno Fernandes,2021-08-14,Sat,1,Home,W 5–1,Manchester Utd,Leeds United,Y,AM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,21.0,5.0,23.8,2.0,12.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
Bruno Fernandes,2021-08-22,Sun,2,Away,D 1–1,Manchester Utd,Southampton,Y,AM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0,6.0,30.0,1.0,16.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,
Bruno Fernandes,2021-08-29,Sun,3,Away,W 1–0,Manchester Utd,Wolves,Y,AM,90.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,16.0,4.0,25.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
Bruno Fernandes,2021-09-11,Sat,4,Home,W 4–1,Manchester Utd,Newcastle Utd,Y,AM,84.0,2.0,2.0,0.0,1.0,1.0,1.0,4.0,25.0,3.0,11.0,3.0,27.3,0.0,6.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,
Bruno Fernandes,2021-09-19,Sun,5,Away,W 2–1,Manchester Utd,West Ham,Y,AM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,20.0,5.0,25.0,3.0,8.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,
Bruno Fernandes,2021-09-25,Sat,6,Home,L 0–1,Manchester Utd,Aston Villa,Y,AM,90.0,3.0,3.0,0.0,1.0,2.0,1.0,3.0,33.3,2.0,15.0,7.0,46.7,1.0,8.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,
Bruno Fernandes,2021-10-02,Sat,7,Home,D 1–1,Manchester Utd,Everton,Y*,AM,90.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,19.0,6.0,31.6,3.0,8.0,8.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,
Bruno Fernandes,2021-10-16,Sat,8,Away,L 2–4,Manchester Utd,Leicester City,Y,AM,90.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,20.0,3.0,15.0,3.0,10.0,7.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,
Bruno Fernandes,2021-10-24,Sun,9,Home,L 0–5,Manchester Utd,Liverpool,Y,AM,61.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,6.0,1.0,16.7,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,
Bruno Fernandes,2021-10-30,Sat,10,Away,W 3–0,Manchester Utd,Tottenham,Y,AM,75.0,2.0,2.0,0.0,2.0,0.0,1.0,5.0,20.0,4.0,15.0,6.0,40.0,5.0,8.0,2.0,1.0,0.0,0.0,1.0,2.0,4.0,3.0,0.0,
Bruno Fernandes,2021-11-06,Sat,11,Home,L 0–2,Manchester Utd,Manchester City,Y,"AM,CM",90.0,5.0,3.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,30.0,6.0,20.0,11.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,
Bruno Fernandes,2021-11-20,Sat,12,Away,L 1–4,Manchester Utd,Watford,Y,"AM,DM,CM",90.0,3.0,3.0,3.0,0.0,0.0,2.0,4.0,50.0,2.0,10.0,3.0,30.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,
Bruno Fernandes,2021-11-28,Sun,13,Away,D 1–1,Manchester Utd,Chelsea,Y*,AM,88.0,3.0,2.0,2.0,1.0,0.0,1.0,3.0,33.3,2.0,26.0,7.0,26.9,2.0,16.0,8.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,1.0,
Luke Shaw,2021-08-14,Sat,1,Home,W 5–1,Manchester Utd,Leeds United,Y,LB,90.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,16.0,6.0,37.5,4.0,8.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,
Luke Shaw,2021-08-22,Sun,2,Away,D 1–1,Manchester Utd,Southampton,Y,LB,90.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,4.0,50.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,
Luke Shaw,2021-08-29,Sun,3,Away,W 1–0,Manchester Utd,Wolves,Y,"LB,WB",90.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,1.0,20.0,2.0,3.0,0.0,3.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,
Luke Shaw,2021-09-11,Sat,4,Home,W 4–1,Manchester Utd,Newcastle Utd,Y,LB,90.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,
Luke Shaw,2021-09-19,Sun,5,Away,W 2–1,Manchester Utd,West Ham,Y,LB,90.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,6.0,1.0,16.7,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,
Luke Shaw,2021-09-25,Sat,6,Home,L 0–1,Manchester Utd,Aston Villa,Y,LB,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Luke Shaw,2021-10-02,Sat,7,Home,D 1–1,Manchester Utd,Everton,Y,LB,90.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,11.0,2.0,18.2,8.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,
Luke Shaw,2021-10-16,Sat,8,Away,L 2–4,Manchester Utd,Leicester City,Y,LB,90.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,8.0,1.0,12.5,5.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
Luke Shaw,2021-10-24,Sun,9,Home,L 0–5,Manchester Utd,Liverpool,Y,"LB,CB",90.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,8.0,3.0,37.5,3.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,
Luke Shaw,2021-10-30,Sat,10,Away,W 3–0,Manchester Utd,Tottenham,Y,WB,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,20.0,4.0,20.0,10.0,3.0,7.0,6.0,0.0,0.0,6.0,2.0,3.0,3.0,0.0,
Luke Shaw,2021-11-06,Sat,11,Home,L 0–2,Manchester Utd,Manchester City,Y,"WB,LB",72.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,18.0,7.0,38.9,5.0,10.0,3.0,3.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,
Luke Shaw,2021-11-20,Sat,12,Away,L 1–4,Manchester Utd,Watford,Y,LB,84.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,3.0,3.0,100.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,
Harry Maguire,2021-08-14,Sat,1,Home,W 5–1,Manchester Utd,Leeds United,Y*,CB,90.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,4.0,1.0,25.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,0.0,
Harry Maguire,2021-08-22,Sun,2,Away,D 1–1,Manchester Utd,Southampton,Y*,CB,90.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,9.0,5.0,55.6,6.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,11.0,0.0,
Harry Maguire,2021-08-29,Sun,3,Away,W 1–0,Manchester Utd,Wolves,Y*,CB,90.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,60.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,4.0,0.0,
Harry Maguire,2021-09-11,Sat,4,Home,W 4–1,Manchester Utd,Newcastle Utd,Y*,CB,90.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,3.0,1.0,33.3,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,
Harry Maguire,2021-09-19,Sun,5,Away,W 2–1,Manchester Utd,West Ham,Y*,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,
Harry Maguire,2021-09-25,Sat,6,Home,L 0–1,Manchester Utd,Aston Villa,Y*,CB,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,1.0,33.3,1.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,9.0,0.0,
Harry Maguire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Maguire,2021-10-16,Sat,8,Away,L 2–4,Manchester Utd,Leicester City,Y*,CB,90.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,8.0,0.0,
Harry Maguire,2021-10-24,Sun,9,Home,L 0–5,Manchester Utd,Liverpool,Y*,CB,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,6.0,2.0,33.3,6.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,
Harry Maguire,2021-10-30,Sat,10,Away,W 3–0,Manchester Utd,Tottenham,Y*,CB,90.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,100.0,0.0,11.0,4.0,36.4,8.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,6.0,0.0,
Harry Maguire,2021-11-06,Sat,11,Home,L 0–2,Manchester Utd,Manchester City,Y*,CB,90.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,6.0,3.0,50.0,6.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,4.0,3.0,0.0,
Harry Maguire,2021-11-20,Sat,12,Away,L 1–4,Manchester Utd,Watford,Y*,"CB,CM",68.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,4.0,2.0,0.0,
Fred,2021-08-14,Sat,1,Home,W 5–1,Manchester Utd,Leeds United,Y,DM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,23.0,4.0,17.4,3.0,17.0,3.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0,
Fred,2021-08-22,Sun,2,Away,D 1–1,Manchester Utd,Southampton,Y,DM,75.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,33.3,2.0,19.0,6.0,31.6,8.0,9.0,2.0,7.0,2.0,0.0,5.0,0.0,3.0,2.0,0.0,
Fred,2021-08-29,Sun,3,Away,W 1–0,Manchester Utd,Wolves,Y,DM,90.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,6.0,33.0,7.0,21.2,14.0,16.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,
Fred,2021-09-11,Sat,4,Home,W 4–1,Manchester Utd,Newcastle Utd,N,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Fred,2021-09-19,Sun,5,Away,W 2–1,Manchester Utd,West Ham,Y,DM,87.0,8.0,5.0,2.0,4.0,2.0,2.0,4.0,50.0,2.0,31.0,11.0,35.5,6.0,18.0,7.0,0.0,0.0,0.0,0.0,1.0,9.0,4.0,0.0,
Fred,2021-09-25,Sat,6,Home,L 0–1,Manchester Utd,Aston Villa,Y,DM,90.0,5.0,5.0,2.0,3.0,0.0,1.0,2.0,50.0,1.0,19.0,6.0,31.6,4.0,15.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,
Fred,2021-10-02,Sat,7,Home,D 1–1,Manchester Utd,Everton,Y,DM,69.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,8.0,1.0,12.5,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,
Fred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred,2021-10-24,Sun,9,Home,L 0–5,Manchester Utd,Liverpool,Y,"CM,DM",90.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,18.0,4.0,22.2,4.0,13.0,1.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,
Fred,2021-10-30,Sat,10,Away,W 3–0,Manchester Utd,Tottenham,Y,"DM,CM",90.0,4.0,3.0,2.0,1.0,1.0,3.0,6.0,50.0,3.0,37.0,13.0,35.1,16.0,14.0,7.0,4.0,1.0,0.0,3.0,1.0,5.0,0.0,0.0,
Fred,2021-11-06,Sat,11,Home,L 0–2,Manchester Utd,Manchester City,Y,"CM,DM",79.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,38.0,6.0,15.8,12.0,20.0,6.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,
Fred,2021-11-20,Sat,12,Away,L 1–4,Manchester Utd,Watford,N,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Fred,2021-11-28,Sun,13,Away,D 1–1,Manchester Utd,Chelsea,Y,CM,90.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,20.0,5.0,25.0,5.0,13.0,2.0,1.0,1.0,0.0,0.0,6.0,8.0,0.0,0.0,
Mason Greenwood,2021-08-14,Sat,1,Home,W 5–1,Manchester Utd,Leeds United,Y,"FW,RW",90.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,16.0,3.0,18.8,2.0,7.0,7.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,
Mason Greenwood,2021-08-22,Sun,2,Away,D 1–1,Manchester Utd,Southampton,Y,"RW,FW",90.0,3.0,2.0,1.0,0.0,2.0,1.0,2.0,50.0,1.0,9.0,5.0,55.6,2.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,
Mason Greenwood,2021-08-29,Sun,3,Away,W 1–0,Manchester Utd,Wolves,Y,"FW,RW",89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,1.0,25.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mason Greenwood,2021-09-11,Sat,4,Home,W 4–1,Manchester Utd,Newcastle Utd,Y,RW,84.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,12.0,1.0,8.3,3.0,3.0,6.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,
Mason Greenwood,2021-09-19,Sun,5,Away,W 2–1,Manchester Utd,West Ham,Y,RW,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,3.0,37.5,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,
Mason Greenwood,2021-09-25,Sat,6,Home,L 0–1,Manchester Utd,Aston Villa,Y,RW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,2.0,33.3,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mason Greenwood,2021-10-02,Sat,7,Home,D 1–1,Manchester Utd,Everton,Y,RW,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,10.0,3.0,30.0,1.0,1.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,
Mason Greenwood,2021-10-16,Sat,8,Away,L 2–4,Manchester Utd,Leicester City,Y,RW,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,10.0,3.0,30.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mason Greenwood,2021-10-24,Sun,9,Home,L 0–5,Manchester Utd,Liverpool,Y,RW,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,
Mason Greenwood,2021-10-30,Sat,10,Away,W 3–0,Manchester Utd,Tottenham,N,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Mason Greenwood,2021-11-06,Sat,11,Home,L 0–2,Manchester Utd,Manchester City,Y,"FW,RW,LW",66.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,13.0,1.0,7.7,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
Mason Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Greenwood,2021-11-28,Sun,13,Away,D 1–1,Manchester Utd,Chelsea,N,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Victor Lindelöf,2021-08-14,Sat,1,Home,W 5–1,Manchester Utd,Leeds United,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,2.0,66.7,0.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,10.0,0.0,
Victor Lindelöf,2021-08-22,Sun,2,Away,D 1–1,Manchester Utd,Southampton,Y,CB,90.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0,
Victor Lindelöf,2021-08-29,Sun,3,Away,W 1–0,Manchester Utd,Wolves,N,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Victor Lindelöf,2021-09-11,Sat,4,Home,W 4–1,Manchester Utd,Newcastle Utd,N,,,,,,,,,,,,,,,,,,,,,,,,,,"On matchday squad, but did not play"
Victor Lindelöf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Lindelöf,2021-09-25,Sat,6,Home,L 0–1,Manchester Utd,Aston Villa,N,CB,24.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,
Victor Lindelöf,2021-10-02,Sat,7,Home,D 1–1,Manchester Utd,Everton,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,1.0,20.0,2.0,2.0,1.0,5.0,2.0,0.0,3.0,1.0,1.0,4.0,0.0,
Victor Lindelöf,2021-10-16,Sat,8,Away,L 2–4,Manchester Utd,Leicester City,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,2.0,33.3,4.0,2.0,0.0,2.0,1.0,0.0,1.0,3.0,3.0,6.0,0.0,
Victor Lindelöf,2021-10-24,Sun,9,Home,L 0–5,Manchester Utd,Liverpool,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,2.0,50.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,
Victor Lindelöf,2021-10-30,Sat,10,Away,W 3–0,Manchester Utd,Tottenham,Y,CB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,20.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,
