name,date,dayofweek,round,venue,result,squad,opponent,game_started,position,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,tackles_interceptions,clearances,errors,bench_explain
Youri Tielemans,2021-09-19,Sun,5,Away,L 1–2,Leicester City,Brighton,Y,"CM,DM",90.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,66.7,1.0,12.0,5.0,41.7,1.0,6.0,5.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,
Youri Tielemans,2021-09-25,Sat,6,Home,D 2–2,Leicester City,Burnley,Y,CM,90.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,11.0,4.0,36.4,6.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,
Youri Tielemans,2021-10-03,Sun,7,Away,D 2–2,Leicester City,Crystal Palace,Y,DM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,12.0,3.0,25.0,3.0,8.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,
Youri Tielemans,2021-10-16,Sat,8,Home,W 4–2,Leicester City,Manchester Utd,Y,DM,90.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,30.0,8.0,26.7,7.0,12.0,11.0,5.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,
Youri Tielemans,2021-10-24,Sun,9,Away,W 2–1,Leicester City,Brentford,Y,DM,90.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,20.0,7.0,35.0,5.0,13.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,6.0,0.0,
Youri Tielemans,2021-10-30,Sat,10,Home,L 0–2,Leicester City,Arsenal,Y,DM,90.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,9.0,2.0,22.2,1.0,6.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,
Youri Tielemans,2021-11-07,Sun,11,Away,D 1–1,Leicester City,Leeds United,Y,CM,76.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,14.0,4.0,28.6,2.0,7.0,5.0,2.0,0.0,0.0,2.0,4.0,5.0,1.0,0.0,
Harvey Barnes,2021-08-14,Sat,1,Home,W 1–0,Leicester City,Wolves,Y,"LW,AM",71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,3.0,50.0,0.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,
Harvey Barnes,2021-08-23,Mon,2,Away,L 1–4,Leicester City,West Ham,Y,"LW,LM",63.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,6.0,1.0,16.7,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
Harvey Barnes,2021-08-28,Sat,3,Away,W 2–1,Leicester City,Norwich City,Y,LM,66.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
Harvey Barnes,2021-09-11,Sat,4,Home,L 0–1,Leicester City,Manchester City,Y,LW,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,7.0,3.0,42.9,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Harvey Barnes,2021-09-19,Sun,5,Away,L 1–2,Leicester City,Brighton,Y,"LW,LM",90.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,5.0,62.5,0.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,
Harvey Barnes,2021-09-25,Sat,6,Home,D 2–2,Leicester City,Burnley,Y,LW,90.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,11.0,2.0,18.2,4.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,
Harvey Barnes,2021-10-03,Sun,7,Away,D 2–2,Leicester City,Crystal Palace,Y,LM,90.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,12.0,2.0,16.7,7.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,
